Date,cumulative,SPY_Price
2014-09-03,275868.9474223733,257579.66268351616
2014-09-04,276180.24565904285,257207.11219562302
2014-09-05,276937.2494797531,258363.32229175104
2014-09-08,276810.80663367634,257695.27977257658
2014-09-09,274080.36710763455,256063.74190847002
2014-09-10,275016.5609753685,257027.25685616396
2014-09-11,275419.69690056867,257322.72928468345
2014-09-12,274346.61587634264,255819.64831861234
2014-09-15,272109.33865344414,255626.93356741645
2014-09-16,273050.30841978977,257553.96346280436
2014-09-17,273100.97236744594,257900.83433274747
2014-09-18,273567.9052250264,259275.45840078316
2014-09-19,274188.4952765977,257836.59608234887
2014-09-22,272674.4111466595,255845.32793656233
2014-09-23,272856.15117430064,254380.78600017802
2014-09-24,273817.53956802585,256372.0541459645
2014-09-25,269851.18231833674,252235.36173564423
2014-09-26,272306.8296515916,254239.46969040573
2014-09-29,272034.10621429904,253776.98173140216
2014-09-30,274613.9221719984,253108.9588149895
2014-10-01,272587.8429929473,249678.8479535305
2014-10-02,272668.6404464905,249717.3869832173
2014-10-03,274014.1200160056,252466.6155165269
2014-10-06,273613.17379665945,252171.1234852456
2014-10-07,271260.1029837193,248278.524664783
2014-10-08,275415.15058772924,252620.77163527414
2014-10-09,273181.11764082056,247610.50174837033
2014-10-10,270640.03792573273,244784.1755529253
2014-10-13,268006.51725106355,240763.11983442726
2014-10-14,267932.8049403129,241135.67032232037
2014-10-15,267036.7050779299,239504.112855452
2014-10-16,265171.15369464335,239298.5778980429
2014-10-17,267481.2531338293,242124.88449072614
2014-10-20,270318.2692992587,244475.8633154308
2014-10-21,274368.87497790763,249319.13727461232
2014-10-22,273701.48317455663,247546.2634979717
2014-10-23,276197.7849123566,250423.94892931674
2014-10-24,274726.82719456736,252350.97882470465
2014-10-27,274949.4427198072,252004.12755752332
2014-10-28,278374.20528027834,254894.67240060514
2014-10-29,278026.78235858347,254509.26250097522
2014-10-30,279992.4634547786,256140.81996784362
2014-10-31,283398.3407288149,259069.9038406123
2014-11-03,283899.2806041853,259211.22015038453
2014-11-04,283631.2952191716,258311.94345308922
